Plant Name,Family,Common Name,Uses,Image File
Abelmoschus esculentus (L.) Moench,MALVACEAE,"Bhindi, Bhindi tori","From the fruits a mucilaginous preparation is made which are considered benificial as plasma replacement or blood volume expander. The immature capsules  of the plant are used as demulcent,  diuretic and the seeds  of the plant are used as antispasmodic, cordial and stimulant.",Abelmoschus_esculentus_L._Moench.jpg
Abelmoschus ficulneus (L.) Wight & Arn.,MALVACEAE,Ran Bhendi,The fruits of the plant have high content of vitamin C than Abelmoschus esculentus.,Abelmoschus_ficulneus_L._Wight_&_Arn..jpg
Abelmoschus manihot (L.) Medik.,MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",The bark of the plant is used as emmenagogue.,Abelmoschus_manihot_L._Medik..jpg
Abelmoschus moschatus Medik.,MALVACEAE,"Muskdana, Kasturi dana","The seed of the plant is musk scented and is known as- Ambrette seeds or Grams-d?Ambrett and is used as stimulant, tonic and carminative.",Abelmoschus_moschatus_Medik..jpg
Abies spectabilis (D. Don) Spach.,PINACEAE,"Talish patra, Gobra salla (Nepal)","Leaves are carminative in nature and is, used for relieving cough and phthisis.",Abies_spectabilis_D._Don_Spach..jpg
Abroma agusta (L.) L.f.,STERCULIACEAE,Ulatkambal,"For emmenagogue and  uterine tonic roots are used.  The leaves of the plant is used for diabetes, rheumatic pains, sinusitis and  uterine disorders. Cholesterol level in blood is reduced by using the fatty oil which is rich in linoleic acid obtained from the seeds of the plant.",Abroma_agusta_L._L.f..jpg
Abrus precatorius L.,FABACEAE,"Ratti, Ghungchi","Glycyrrhizin the main constituent of liquorice is obtained from the roots and leaves and the decoction of it is given for coughs and colds. The roots of the plant is having diuretic, tonic, and emetic properties. The seeds of the plant is prescribed in infections of nervous system. The seed paste is applied locally in sciatica, stiffness of shoulder joints and paralysis. Protein which is extracted from the seeds shows anti-tumour activity on Yeshida s",Abrus_precatorius_L..jpg
Abutilon hirtum (Lam.) Sweet,MALVACEAE,Barakanghi,"The plant is employed as febrifuge, antiemetic, and anti-inflammatory and also used in urinary troubles and lumbago. The bark of the plant is having astringent and diuretic properties. Leaves extract is diuretic and demulcent. The roots of the plant used as a nervine tonic and antipyretic; also used in piles. It is also used with chaulmugra oil for leucoderma. The seeds  of the plant known as-Balbij are rich in mucilage and is having laxative and demu",Abutilon_hirtum_Lam._Sweet.jpg
Abutilon indicum (L.) Sweet,MALVACEAE,"Kanghi, Kakahi","The plant is employed as febrifuge, antiemetic, and anti-inflammatory and also used in urinary troubles and lumbago. The bark of the plant is having astringent and diuretic properties. Leaves extract is diuretic and demulcent. The roots of the plant used as a nervine tonic and antipyretic; also used in piles. It is also used with chaulmugra oil for leucoderma. The seeds  of the plant known as-Balbij are rich in mucilage and is having laxative and demu",Abutilon_indicum_L._Sweet.jpg
Abutilon pannosum (Forst.) Schlect.,MALVACEAE,Kakrai,The leaves of the plant containing the  mucilage is used in piles and pectoral.,Abutilon_pannosum_Forst._Schlect..jpg
